Name,Price,24h Change,Market Cap,Timestamp
Bitcoin,"$118,909.47",0.01%,4.23%,2025-08-12 13:36:25
Ethereum,"$4,305.25",0.37%,18.93%,2025-08-12 13:36:25
XRP,$3.14,0.32%,4.69%,2025-08-12 13:36:26
Tether,$0.9999,0.01%,0.01%,2025-08-12 13:36:28
BNB,$807.82,0.07%,6.70%,2025-08-12 13:36:29
Solana,$175.63,0.70%,5.68%,2025-08-12 13:36:29
USDC,$0.9998,0.00%,0.01%,2025-08-12 13:36:29
Dogecoin,$0.2251,0.72%,11.48%,2025-08-12 13:36:29
TRON,$0.3475,0.08%,4.70%,2025-08-12 13:36:30
Cardano,$0.7804,0.21%,6.10%,2025-08-12 13:36:30
Bitcoin,"$117,510.55",0.04%,0.34%,2025-08-16 17:38:39
Ethereum,"$4,395.04",0.64%,4.78%,2025-08-16 17:38:40
XRP,$3.11,0.71%,5.90%,2025-08-16 17:38:40
Tether,$1.00,0.02%,0.07%,2025-08-16 17:38:40
BNB,$827.22,0.18%,1.89%,2025-08-16 17:38:40
Solana,$185.86,0.46%,2.85%,2025-08-16 17:38:40
USDC,$1.00,0.02%,0.03%,2025-08-16 17:38:40
Dogecoin,$0.2275,0.87%,4.17%,2025-08-16 17:38:40
TRON,$0.3496,0.58%,3.82%,2025-08-16 17:38:40
Cardano,$0.9039,0.64%,12.03%,2025-08-16 17:38:40
Bitcoin,"$117,514.89",0.03%,0.35%,2025-08-16 17:43:31
Ethereum,"$4,395.87",0.48%,4.79%,2025-08-16 17:43:31
XRP,$3.11,0.75%,5.97%,2025-08-16 17:43:31
Tether,$1.00,0.01%,0.06%,2025-08-16 17:43:31
BNB,$827.23,0.30%,1.92%,2025-08-16 17:43:31
Solana,$185.70,0.68%,2.86%,2025-08-16 17:43:32
USDC,$1.00,0.01%,0.02%,2025-08-16 17:43:32
Dogecoin,$0.2273,1.21%,4.16%,2025-08-16 17:43:32
TRON,$0.3495,0.65%,3.81%,2025-08-16 17:43:32
Cardano,$0.9049,0.76%,12.24%,2025-08-16 17:43:32
Bitcoin,"$115,524.64",0.00%,2.94%,2025-08-19 18:21:03
Ethereum,"$4,296.84",0.11%,2.28%,2025-08-19 18:21:03
XRP,$3.01,0.07%,5.47%,2025-08-19 18:21:03
Tether,$1.00,0.01%,0.04%,2025-08-19 18:21:03
BNB,$844.96,0.18%,4.38%,2025-08-19 18:21:04
Solana,$182.27,0.04%,2.40%,2025-08-19 18:21:04
USDC,$1.00,0.01%,0.01%,2025-08-19 18:21:04
TRON,$0.3514,0.07%,1.55%,2025-08-19 18:21:04
Cardano,$0.9305,0.52%,17.75%,2025-08-19 18:21:04
Dogecoin,$0.2200,0.16%,2.93%,2025-08-19 18:21:04
Bitcoin,"$113,711.14",0.18%,4.72%,2025-08-20 12:48:16
Ethereum,"$4,199.80",0.59%,9.00%,2025-08-20 12:48:16
XRP,$2.88,0.06%,10.46%,2025-08-20 12:48:17
Tether,$1.00,0.01%,0.03%,2025-08-20 12:48:17
BNB,$836.90,0.35%,1.12%,2025-08-20 12:48:17
Solana,$181.30,0.26%,7.59%,2025-08-20 12:48:17
USDC,$0.9999,0.00%,0.02%,2025-08-20 12:48:17
TRON,$0.3495,0.01%,1.50%,2025-08-20 12:48:17
Dogecoin,$0.2134,0.34%,9.77%,2025-08-20 12:48:17
Cardano,$0.8511,0.09%,0.55%,2025-08-20 12:48:17
Bitcoin,"$113,752.33",0.17%,4.70%,2025-08-20 12:49:43
Ethereum,"$4,206.68",0.70%,8.95%,2025-08-20 12:49:43
XRP,$2.88,0.05%,10.46%,2025-08-20 12:49:43
Tether,$0.9999,0.01%,0.00%,2025-08-20 12:49:43
BNB,$836.88,0.41%,1.41%,2025-08-20 12:49:43
Solana,$181.34,0.38%,7.66%,2025-08-20 12:49:43
USDC,$0.9998,0.00%,0.00%,2025-08-20 12:49:44
TRON,$0.3497,0.00%,1.64%,2025-08-20 12:49:44
Dogecoin,$0.2138,0.49%,10.05%,2025-08-20 12:49:44
Cardano,$0.8540,0.26%,0.61%,2025-08-20 12:49:44
